date,platform,config,benchmark,n_active_cores,param,run_idx,cycles,instret,derived_metric,source
2026-06-12,verilator,Baseline2CoreConfig,zeroload_latency,1,100000,1,5341373,300005,53.4137,official
2026-06-12,verilator,Baseline2CoreConfig,zeroload_latency,1,100000,2,5341373,300005,53.4137,official
2026-06-12,verilator,Baseline2CoreConfig,zeroload_latency,1,100000,3,5341373,300005,53.4137,official
2026-06-13,verilator,Baseline2CoreConfig,contention_bw,2,8388608,1,5306049,1769541,1.58095,official
2026-06-13,verilator,Baseline2CoreConfig,contention_bw,2,8388608,2,5306049,1769541,1.58095,official
2026-06-13,verilator,Baseline2CoreConfig,contention_bw,2,8388608,3,5306049,1769541,1.58095,official
2026-06-13,verilator,Baseline2CoreConfig,loaded_latency,2,100000,1,5626687,300005,56.2669,official
2026-06-13,verilator,Baseline2CoreConfig,loaded_latency,2,100000,2,5626687,300005,56.2669,official
2026-06-13,verilator,Baseline2CoreConfig,loaded_latency,2,100000,3,5626687,300005,56.2669,official
2026-06-13,verilator,Baseline2CoreConfig,core2core,2,1000,1,109399,0,109.399,official
2026-06-13,verilator,Baseline2CoreConfig,core2core,2,1000,2,109399,0,109.399,official
2026-06-13,verilator,Baseline2CoreConfig,core2core,2,1000,3,109399,0,109.399,official
2026-06-14,verilator,Baseline2CoreConfig,stream_bw,1,3145728,1,4730423,1310727,0.664999,official
2026-06-14,verilator,Baseline4CoreConfig,zeroload_latency,1,100000,1,5341582,300005,53.4158,official
2026-06-14,verilator,Baseline4CoreConfig,stream_bw,1,3145728,1,4732415,1310727,0.664719,official
2026-06-14,verilator,Baseline4CoreConfig,contention_bw,4,16777216,1,6043529,1813376,2.77606,official
2026-06-14,verilator,Baseline4CoreConfig,loaded_latency,4,100000,1,6218144,300005,62.1814,official
2026-06-14,verilator,Baseline4CoreConfig,core2core,4,1000,1,108680,0,108.68,official
2026-06-14,verilator,Baseline8CoreConfig,zeroload_latency,1,100000,1,5777154,300005,57.7715,official
2026-06-11,verilator,RocketConfig,zeroload_latency,1,20000,1,1052315,60005,52.6157,smoke
2026-06-12,verilator,Baseline4CoreConfig,contention_bw,4,1048576,1,277779,80839,3.77486,smoke
2026-06-11,verilator,Baseline2CoreConfig,contention_bw,2,524288,1,196784,77897,2.66428,smoke
2026-06-11,verilator,Baseline2CoreConfig,core2core,2,200,1,21234,0,106.17,smoke
2026-06-11,verilator,Baseline2CoreConfig,loaded_latency,2,5000,1,112919,15005,22.5838,smoke
2026-06-11,verilator,Baseline2CoreConfig,stream_bw,1,393216,1,338751,163853,1.16078,smoke
2026-06-11,verilator,Baseline2CoreConfig,zeroload_latency,1,5000,1,95862,15005,19.1724,smoke
2026-06-14,verilator,Baseline8CoreConfig,stream_bw,1,3145728,1,12325038,1310727,0.255231,official
2026-06-14,verilator,Baseline8CoreConfig,core2core,8,1000,1,101000,0,101,official
